"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2025","115,243.0","115,699.2","115,833.2","115,205.5","19.28K","-0.39%"
"09/20/2025","115,699.2","115,649.0","116,138.4","115,424.9","20.42K","0.04%"
"09/19/2025","115,649.0","117,089.2","117,470.7","115,133.5","36.98K","-1.23%"
"09/18/2025","117,086.0","116,426.5","117,910.4","116,144.9","46.50K","0.57%"
"09/17/2025","116,425.9","116,795.9","117,284.2","114,782.5","56.85K","-0.32%"
"09/16/2025","116,795.9","115,362.1","116,970.0","114,801.0","43.05K","1.24%"
"09/15/2025","115,362.1","115,314.2","116,723.2","114,412.2","48.68K","0.04%"
"09/14/2025","115,314.6","115,924.8","116,165.6","115,158.3","25.84K","-0.53%"
"09/13/2025","115,924.9","116,042.6","116,292.4","115,207.3","30.79K","-0.10%"
"09/12/2025","116,042.8","115,490.5","116,684.3","114,766.1","56.48K","0.48%"
"09/11/2025","115,490.2","113,963.5","115,490.6","113,446.6","47.81K","1.34%"
"09/10/2025","113,963.5","111,517.1","114,300.7","110,938.8","62.24K","2.19%"
"09/09/2025","111,516.5","112,066.3","113,259.9","110,781.1","53.76K","-0.49%"
"09/08/2025","112,068.4","111,140.9","112,896.9","110,630.5","41.95K","0.83%"
"09/07/2025","111,150.1","110,194.4","111,594.1","110,185.6","23.81K","0.87%"
"09/06/2025","110,194.4","110,660.1","111,313.4","110,010.5","21.14K","-0.41%"
"09/05/2025","110,652.2","110,727.9","113,315.6","110,234.6","63.56K","-0.05%"
"09/04/2025","110,712.7","111,716.5","112,189.1","109,344.8","43.30K","-0.90%"
"09/03/2025","111,716.5","111,227.9","112,568.1","110,547.9","43.05K","0.45%"
"09/02/2025","111,218.3","109,241.6","111,714.6","108,425.3","60.02K","1.81%"
"09/01/2025","109,243.3","108,247.3","109,898.5","107,274.7","53.13K","0.94%"
"08/31/2025","108,226.8","108,818.1","109,484.2","108,092.6","33.80K","-0.54%"
"08/30/2025","108,818.1","108,367.7","108,925.3","107,433.4","41.99K","0.43%"
"08/29/2025","108,355.6","112,568.9","112,617.3","107,538.7","69.98K","-3.74%"
"08/28/2025","112,568.9","111,263.2","113,464.6","110,887.7","41.38K","1.18%"
"08/27/2025","111,255.6","111,768.6","112,611.3","110,409.9","44.41K","-0.46%"
"08/26/2025","111,768.6","110,118.4","112,377.0","108,768.3","62.08K","1.50%"
"08/25/2025","110,118.4","113,486.6","113,665.1","109,295.1","76.94K","-2.97%"
"08/24/2025","113,483.2","115,431.5","115,663.3","110,815.9","64.88K","-1.69%"
"08/23/2025","115,433.3","116,928.9","117,024.3","114,576.5","39.63K","-1.28%"
"08/22/2025","116,928.9","112,492.9","117,416.9","111,698.5","72.83K","3.95%"
"08/21/2025","112,481.1","114,275.0","114,776.3","112,023.0","43.00K","-1.57%"
"08/20/2025","114,275.0","112,878.1","114,616.7","112,409.4","54.63K","1.24%"
"08/19/2025","112,880.3","116,218.9","116,729.2","112,750.9","62.15K","-2.86%"
"08/18/2025","116,203.8","117,417.9","117,552.7","114,653.8","58.82K","-1.02%"
"08/17/2025","117,405.4","117,393.8","118,559.4","117,192.4","21.87K","-0.01%"
"08/16/2025","117,413.4","117,356.3","117,914.9","117,195.6","25.18K","0.05%"
"08/15/2025","117,356.3","118,314.1","119,231.9","116,816.8","45.23K","-0.81%"
"08/14/2025","118,314.2","123,313.6","124,436.8","117,275.1","86.59K","-4.06%"
"08/13/2025","123,323.4","120,138.4","123,651.8","118,959.9","76.09K","2.64%"
"08/12/2025","120,146.2","118,689.6","120,317.2","118,217.4","56.86K","1.23%"
"08/11/2025","118,689.6","119,291.8","122,319.5","118,242.5","81.13K","-0.50%"
"08/10/2025","119,287.0","116,468.4","119,305.3","116,468.4","46.65K","2.42%"
"08/09/2025","116,471.6","116,676.5","117,893.0","116,357.7","34.33K","-0.18%"
"08/08/2025","116,676.3","117,480.5","117,625.1","115,917.8","39.88K","-0.68%"
"08/07/2025","117,480.5","115,002.1","117,628.4","114,267.3","47.52K","2.16%"
"08/06/2025","115,002.1","114,131.7","115,714.0","113,361.2","34.73K","0.76%"
"08/05/2025","114,139.1","115,055.3","115,111.7","112,678.9","41.41K","-0.80%"
"08/04/2025","115,055.3","114,213.1","115,720.9","114,116.1","36.55K","0.74%"
