Date,Open,High,Low,Close,Volume,Market Cap
2020-07-31,11084.61689,11157.27194,10894.50579,11109.23106,36055471756.0,203000000000.0
2020-08-01,11100.38336,11425.72023,10978.05278,11334.58547,32449292483.0,206000000000.0
2020-08-02,11336.03219,11848.39451,11243.91329,11800.38987,41384071142.0,214000000000.0
2020-08-03,11797.81633,12078.65812,10983.14938,11073.60766,52188598141.0,209000000000.0
2020-08-04,11070.05969,11465.33959,10998.67973,11246.25548,35112734941.0,208000000000.0
2020-08-05,11228.30377,11391.63352,11075.23021,11194.55461,33863638682.0,207000000000.0
2020-08-06,11196.17762,11769.26961,11133.72852,11732.92795,31972193672.0,211000000000.0
2020-08-07,11738.74293,11895.07183,11574.34382,11780.28537,37150220757.0,217000000000.0
2020-08-08,11777.53837,11885.86315,11392.40966,11583.15927,34481886917.0,216000000000.0
2020-08-09,11592.01689,11802.1359,11541.2703,11728.58523,31999650196.0,215000000000.0
2020-08-10,11758.32334,11784.90545,11539.76259,11648.08317,27135096720.0,215000000000.0
2020-08-11,11666.67308,12031.87065,11666.67308,11867.86649,36150631838.0,219000000000.0
2020-08-12,11885.4514,11927.49191,11185.18212,11395.40582,37908458366.0,215000000000.0
2020-08-13,11397.03945,11607.74082,11238.64735,11576.81427,42464680751.0,212000000000.0
2020-08-14,11567.06672,11773.08846,11301.37014,11763.00914,35020081228.0,213000000000.0
2020-08-15,11765.96545,11830.53028,11657.28758,11742.87637,37984318895.0,217000000000.0
2020-08-16,11755.70816,11966.48828,11755.70816,11865.38305,31579519762.0,219000000000.0
2020-08-17,11857.11334,11912.90806,11706.3526,11892.68092,27103038829.0,219000000000.0
2020-08-18,11892.9928,12394.34502,11787.6261,12285.93663,29928688831.0,222000000000.0
2020-08-19,12272.57863,12364.51586,11892.03044,11961.9946,42796629889.0,225000000000.0
2020-08-20,11969.19437,12007.45379,11638.94295,11732.40557,40374416081.0,218000000000.0
2020-08-21,11742.5261,11878.7376,11689.23604,11866.59519,33930368814.0,218000000000.0
2020-08-22,11855.74486,11874.02169,11511.7181,11530.91923,31263106135.0,217000000000.0
2020-08-23,11534.75309,11687.6584,11403.80202,11681.15793,34813826010.0,214000000000.0
2020-08-24,11680.51631,11707.26344,11537.63262,11653.40729,25832518309.0,215000000000.0
2020-08-25,11648.11234,11822.06015,11601.43091,11763.76171,27473249748.0,217000000000.0
2020-08-26,11756.69784,11761.36045,11166.88423,11361.55482,31693401989.0,213000000000.0
2020-08-27,11338.90819,11519.64724,11275.78933,11463.56797,36827771242.0,211000000000.0
2020-08-28,11462.85202,11549.16864,11188.79322,11311.2402,32828842214.0,210000000000.0
2020-08-29,11320.18426,11504.09768,11290.09589,11496.83022,32588672017.0,211000000000.0
2020-08-30,11502.40289,11551.26249,11437.27082,11485.10157,24334715747.0,212000000000.0
2020-08-31,11471.66127,11704.63524,11468.27535,11697.79437,25043705473.0,214000000000.0
2020-09-01,11715.37986,11764.46311,11578.52232,11655.9987,28817684113.0,216000000000.0
2020-09-02,11650.161,12044.02119,11551.45166,11921.75492,36030623507.0,219000000000.0
2020-09-03,11924.49257,11945.58265,11231.6795,11399.14897,40828722690.0,214000000000.0
2020-09-04,11388.86788,11435.02012,10103.86218,10215.66996,41460895660.0,204000000000.0
2020-09-05,10158.23688,10602.9688,10108.68494,10473.51945,51279765459.0,192000000000.0
2020-09-06,10448.69017,10547.91697,9902.977529,10129.78665,47745079005.0,190000000000.0
